ID,Current Tone,Suggested UI Bucket,UI Confidence,Suggested Raw Tone,Raw Confidence,Text Preview
"TA001","alert","caution","0.20","angry","0.60","Pause before replying; name the heat: “We’re both heated right now.”"
"TA002","alert","caution","0.40","apologetic","0.60","Name frustration in one sentence without blame: “I’m frustrated because I felt ignored.”"
"TA003","alert","caution","0.40","sad","0.60","Don’t repeat louder—slow down: “Can we take a step back?”"
"TA004","alert","caution","0.20","none","0.00","Switch from “you” to “I” statements to lower charge."
"TA005","alert","caution","0.20","none","0.00","Call out escalation: “We’re starting to talk past each other.”"
"TA006","caution","caution","0.20","none","0.00","Take three breaths before responding to criticism."
"TA007","alert","caution","0.20","none","0.00","Drop sarcasm; say plainly what you mean."
"TA008","caution","caution","0.20","none","0.00","Ask for clarity, not intent guesses: “Can you explain what you meant?”"
"TA009","alert","caution","0.40","sad","0.60","If volume rises: “Let’s bring the tone down a notch.”"
"TA010","alert","clear","0.30","assertive","0.60","State a behavioral need: “I need us to pause this for five minutes.”"
"TA011","caution","clear","0.20","supportive","0.60","Validate before countering: “I see why you’d be upset…” + your view."
"TA012","alert","caution","0.40","withdrawn","0.60","Avoid “always/never”; keep to this moment."
"TA013","alert","clear","0.30","assertive","0.60","Buy time when cornered: “I need a short break to collect my thoughts.”"
"TA014","alert","caution","0.20","none","0.00","Don’t bring old conflicts in; finish the current one first."
"TA015","caution","caution","0.20","none","0.00","Mirror the last sentence to confirm, then respond."
"TA016","alert","caution","0.40","apologetic","0.60","When blame spikes, pause and name your own feelings instead."
"TA017","alert","clear","0.20","logistical","0.60","Keep arguments present-tense; don’t project the future."
"TA018","caution","caution","0.20","none","0.00","Soften body language—uncross arms, loosen jaw."
"TA019","caution","caution","0.20","none","0.00","State the shared goal: “We both want to solve this.”"
"TA020","alert","caution","0.20","none","0.00","Interrupt defensiveness: “I’m not against you; I’m with you in this.”"
"TA021","alert","clear","0.20","logistical","0.60","Focus on one issue at a time."
"TA022","caution","clear","0.60","supportive","0.60","Replace accusations with questions: “Help me understand why that happened.”"
"TA023","alert","clear","0.20","supportive","0.60","Anchor with reassurance: “We’ll figure this out together.”"
"TA024","alert","clear","0.20","logistical","0.60","Use timeouts with a resume plan so it isn’t abandonment."
"TA025","alert","clear","0.20","playful","0.60","De-escalate with a gentle repair (humor/softener), not a jab."
"TA026","caution","clear","0.30","supportive","0.60","When overlapping: “I want to hear you—can you finish first?”"
"TA027","alert","caution","0.20","none","0.00","Name the pattern, not the person: “We’re repeating ourselves.”"
"TA028","caution","caution","0.20","none","0.00","Lead with one constructive note before your point."
"TA029","alert","caution","0.20","none","0.00","Swap swearing for plain language to lower defense."
"TA030","caution","clear","0.20","neutral","0.60","Start from a neutral fact you both accept."
"TA031","alert","caution","0.20","none","0.00","If escalation rises, slow your texting pace."
"TA032","alert","clear","0.30","assertive","0.60","Label behavior, not the person (no “selfish/lazy”)."
"TA033","alert","caution","0.20","none","0.00","When interrupted: “I’d like to finish my thought first.”"
"TA034","caution","caution","0.20","none","0.00","Name the deeper layer: “Feels more about respect than chores.”"
